<Trait>	NC_BLUE	ES_BLUE	Overall_BLUE
N192	3.3839	1.6282	2.7277
N28HT	3.7813	1.2127	2.8827
N6	2.2693	1.8565	2.1156
N7A	2.7737	2.2638	2.6164
NC222	2.4694	0.3638	1.7702
NC230	3.3999	1.3253	2.7042
NC232	3.7954	1.9445	3.1751
NC236	4.1612	2.4802	3.5738
NC238	3.9303	NA	3.2829
NC250	3.1956	2.8564	3.109
NC258	2.9963	1.5738	2.62
NC260	3.894	2.9109	3.4477
NC262	2.6313	1.659	2.2474
NC264	3.2049	1.1226	2.4628
NC290A	3.6094	1.5046	2.8751
NC294	3.6181	2.0306	3.0427
NC296	2.4401	2.0094	2.3625
NC296A	3.8494	1.1901	2.9053
NC298	4.2709	2.0341	3.4739
NC300	3.4651	1.1102	2.7474
NC302	2.6372	1.1326	2.1428
NC304	3.8687	0.7044	2.74
NC306	3.9866	1.1617	2.95
NC310	3.0191	1.2844	2.3913
NC314	4.0215	2.6891	3.5461
NC318	2.8965	0.9898	2.2333
NC320	2.6657	1.2555	2.1996
NC324	3.7934	3.7607	3.8483
NC326	3.7452	1.7225	3.018
NC328	3.3493	0.756	2.4236
NC33	4.0958	1.6163	3.1403
NC336	2.4274	1.0267	2.0239
NC338	3.1368	0.657	2.2911
NC340	3.2319	1.2799	2.5919
NC342	3.2541	1.5295	2.6674
NC344	3.6274	1.5792	2.9109
NC346	2.7402	1.3721	2.2939
NC348	4.4289	2.2527	3.6444
NC350	2.7235	2.3239	2.5062
NC352	2.971	1.1078	2.3346
NC354	2.4835	1.9185	2.498
NC356	2.3304	1.6131	2.0904
NC358	2.3626	1.1596	1.8987
NC360	3.2778	1.4585	2.6234
NC362	3.0452	0.9659	2.3064
NC364	3.3091	1.2901	2.5762
NC366	3.3664	1.5631	2.7934
NC368	4.005	1.3142	3.0371
ND246	NA	2.8423	3.6138
OH40B	3.6997	2.1073	3.1532
OH43	3.606	1.7955	2.9271
OH43E	4.4187	1.7439	3.1136
OH603	2.3452	1.1625	1.9211
OH7B	4.0109	2.6638	3.5376
OS420	3.4136	NA	2.8109
P39	4.1778	4.5028	4.3892
PA762	3.5516	1.8764	2.9383
PA875	3.9474	1.5306	3.0406
PA880	4.084	2.7657	3.6137
PA91	3.9354	2.1187	3.2825
R109B	4.0685	2.8976	3.6093
R168	4.0726	1.9846	3.2912
R177	2.5733	NA	1.963
R229	3.7784	2.5863	3.3867
R4	3.6356	1.4989	2.8294
SA24	2.3074	1.8181	2.1055
SC213R	4.0021	1.2052	3.0504
SC357	3.4745	1.9532	2.9558
SC55	3.5799	0.909	2.7309
SD40	3.8683	2.4211	3.3308
SD44	3.6203	1.2692	2.6428
SG1533	NA	1.4478	2.5085
SG18	NA	2.2271	3.3205
T232	3.4626	1.3713	2.7682
T234	3.6841	2.0087	3.0732
T8	3.0297	1.8148	2.6028
TX303	3.3215	1.6636	2.782
TX601	3.4824	0.3872	2.5534
TZI10	NA	1.9482	3.5959
TZI11	3.3685	0.9656	2.5335
TZI16	4.1582	2.3847	3.5343
TZI18	2.5869	1.2114	2.1582
TZI25	3.6268	1.8524	3.0555
TZI9	4.01	2.2756	3.4107
U267Y	4.1135	2.0544	3.4306
VA102	3.0087	1.3692	2.3689
VA14	4.0327	1.9085	3.3096
VA17	3.9943	1.1159	2.9917
VA22	2.9364	1.0499	2.2583
VA26	3.7305	1.4784	2.8866
VA35	2.6686	2.5855	2.6737
VA59	3.1913	1.7186	2.6305
VA85	3.4392	1.4588	2.763
VA99	3.7897	1.9585	3.1778
VAW6	3.0029	1.6664	2.5501
W117HT	4.701	3.5029	4.1781
W153R	3.4012	2.4306	2.9868
W182B	3.6552	2.324	3.1162
W22	4.2303	2.2089	3.5309
W22_R	4.5832	NA	3.9478
WD	4.2339	NA	3.7029
WF9	2.8832	1.4367	2.3896
YU796	4.4617	3.3763	4.0574
